id,count
courtier·ère,4
crotter,5
attrape,5
mécher,7
parolier·ère,11
brigand,14
documentaliste,15
spadassin,15
multi,16
schizo,16
surhomme,18
autodafé,19
essayiste,23
typographe,26
vedette,29
gourou,31
techno,35
gamer,36
diva,36
interprète,39
chouchou,43
explorateur·rice,47
baby,51
bouquiniste,54
associé·e,56
compositeur·rice,59
auditeur·rice,62
informaticien·ne,65
contributeur·rice,68
collaborateur·rice,71
tatoueur·euse,79
clone,80
aspirant·e,81
formateur·rice,85
destinataire,88
entrepreneur·euse,88
logistique,92
linguiste,93
photographe,94
people,100
néo,106
autoéditer,108
anti,108
han,113
short,124
co,125
primo,126
dessinateur·rice,149
héro,153
relecteur·rice,154
phare,156
mi,175
apprenti·e,181
micro,192
geek,197
scénariste,205
blogueur·euse,211
femelle,213
homo,218
voyageur·euse,227
historien·ne,228
propriétaire,273
peintre,277
fantôme,335
traducteur·rice,345
marchand·e,349
harmattan,361
spectateur·rice,392
romancier·ère,400
graphiste,446
remise,466
créateur·rice,531
star,562
bébé,578
amateur·rice,579
distributeur·rice,580
loisir,580
cible,617
professeur·e,617
participatif·ve,622
bêta,639
prince·sse,679
imprimeur·euse,689
web,692
diffuseur·euse,753
auto,815
illustrateur·rice,908
lectorat,971
policier·ère,1076
ex,1154
poète·sse,1170
pro,1394
narrateur·rice,1398
pseudo,1457
chef·fe,1506
gentil·le,1542
employer,1583
fiche,1668
inconnu·e,1699
artiste,1827
relation,2034
féminin·e,2035
libraire,2110
faux·sse,2120
dieu,2127
vidéo,2293
présentation,2311
e,2392
info,2837
héros,3098
service,3110
public,3177
noir·e,3228
ouvrage,3591
correcteur·rice,3600
prix,5287
titre,6280
écrivain·e,6611
devenir,7315
sous,7896
homme,8505
femme,8767
nom,10164
toi,12511
compte,13099
lecteur·rice,13750
page,13918
maison,17632
édition,20685
personnage,23717
éditeur·rice,26650
non,30030
moi,32882
auteur·rice,39054
prim,1
peudo,1
wanabe,1
insta,1
auteure,1
primos,1
écrivants,1
chatgpt,1
amuseur·euse,1
bourgois,1
