mot1,mot2,count
collaborateur·rice,éditeur·rice,2
auteur·rice,han,2
essayiste,gourou,1
romancier·ère,poète·sse,1
pseudo,écrivain·e,4
anti,éditeur·rice,1
auteur·rice,héro,1
vidéo,poète·sse,2
ex,auteure,0
auteur·rice,illustrateur·rice,1
édition,harmattan,1
auteur·rice,chouchou,1
anti,artiste,1
lecteur·rice,écrivain·e,1
auteur·rice,autoéditer,1
imprimeur·euse,logistique,1
devenir,écrivain·e,2
fiche,auteur·rice,3
geek,écrivain·e,2
éditeur·rice,auteure,0
graphiste,makettiste,0
bêta,lectorat,1
poète·sse,crotter,1
ex,éditeur·rice,6
dessinateur·rice,auteur·rice,1
titre,auteur·rice,1
auteur·rice,correcteur·rice,1
baby,auteur·rice,2
éditeur·rice,marchand·e,1
apprenti·e,auteur·rice,1
éditeur·e,auteur·e,0
auteur·rice,artiste,2
écrivain·e,autodafé,2
moi,poète·sse,1
fiche,ouvrage,1
éditeur·rice,chef·fe,2
artiste,auteur·e,0
femme,artiste,1
non,artiste,1
écrivain·e,fantôme,1
toi,auteur·rice,1
people,écrivain·e,1
aspirant·e,auteur·rice,3
peudo,éditeur·rice,1
ex,libraire,1
historien·ne,historien·ne,1
primos,romancier·ère,1
présentation,auteur·rice,1
auteur·rice,auteur·rice,1
éditeur·rice,employer,2
dieu,auteur·rice,6
auteur·rice,entrepreneur·euse,1
auteur·rice,éditeur·rice,31
wanabe,auteur·rice,1
prix,auteur·rice,2
auteur·rice,femelle,1
aspirant·e,écrivain·e,4
poète·sse,sse·s,0
remise,auteur·rice,1
co,auteure,0
explorateur·rice,artiste,1
multi,auteur·rice,1
écrivain·e,voyageur·euse,3
correcteur·rice,auteur·rice,1
pseudo,auteure,0
parolier·ère,interprète,1
anti,poète·sse,1
pseudo,poète·sse,1
écrivain·e,people,1
éditeur·rice,imprimeur·euse,1
auteur·rice,maison,3
écrivain·e,noir·e,1
info,graphiste,1
e,libraire,3
peintre,spadassin,2
prim,auteur·rice,1
relecteur·rice,typographe,1
primo,écrivain·e,4
artiste,amuseur·euse,1
professeur·e,documentaliste,1
apprenti·e,écrivain·e,6
non,illustrateur·rice,1
pro,auteur·rice,1
bêta,auditeur·rice,1
personnage,auteur·rice,1
service,public,1
auteur·rice,créateur·rice,1
professeur·e,éditeur·rice,1
auteur·rice,compositeur·rice,3
auteur·rice,associé·e,1
gamer,écrivain·e,1
auteur·rice,diva,2
bébé,écrivain·e,1
co,auteur·rice,81
auteur·rice,femme,1
web,auteur·rice,1
sous,éditeur·rice,2
auteur·rice,traducteur·rice,1
relation,libraire,2
spectateur·rice,lecteur·rice,2
attrape,auteur·rice,1
libraire,éditeur·rice,4
libraire,diffuseur·euse,3
amateur·rice,écrivain·e,1
auteur·rice,photographe,1
chatgpt,romancier·ère,1
auteur·rice,lecteur·rice,5
femme,écrivain·e,1
artiste,peintre,2
linguiste,historien·ne,2
écrivain·e,loisir,1
auteur·rice,contributeur·rice,1
écrivain·e,geek,2
auteur·rice,titre,1
schizo,auteur·rice,1
pseudo,artiste,1
artiste,auteur·rice,152
destinataire,auteur·rice,1
éditeur·rice,mécher,2
auteur·rice,participatif·ve,1
primo,auteur·rice,57
non,auteur·rice,2
primo,auteure,0
co,écrivain·e,3
prince·sse,poète·sse,1
éditeur·rice,courtier·ère,2
auteur·rice,propriétaire,3
non,écrivain·e,5
écrivain·e,formateur·rice,2
lectorat,cible,5
pseudo,romancier·ère,1
auteur·rice,interprète,1
auteur·rice,star,3
auteur·rice,inconnu·e,2
écrivain·e,clone,1
écrivain·e,entrepreneur·euse,1
micro,éditeur·rice,17
auteur·rice,alexia,0
insta,auteur·rice,3
compte,éditeur·rice,1
illustrateur·rice,auteur·rice,1
lecteur·rice,auteur·rice,2
écrivain·e,homo,1
écrivain·e,éditeur·rice,2
faux·sse,éditeur·rice,2
éditeur·rice,lecteur·rice,2
poète·sse,brigand,2
artiste,tatoueur·euse,2
ami·e,auteure,0
public,cible,15
ex,imprimeur·euse,1
auteur·rice,vedette,4
primo,romancier·ère,98
auteur·rice,héros,1
page,auteur·rice,1
moi,artiste,1
mi,éditeur·rice,1
pro,éditeur·rice,2
auteur·rice,phare,13
artiste,auteure,0
auteur·rice,aspirant·e,3
auteure,short,1
mi,graphiste,1
éditeur·rice,distributeur·rice,1
écrivain·e,surhomme,1
féminin·e,écrivain·e,1
auto,éditeur·rice,33
éditeur·rice,auteur·rice,4
auteur·rice,gentil·le,2
poète·sse,nom,1
techno,imprimeur·euse,9
auteur·rice,dieu,1
blog,auteure,0
bouquiniste,éditeur·rice,1
écrivain·e,lecteur·rice,1
poète·sse,homme,1
auteur·rice,scénariste,1
blogueur·euse,auteur·rice,1
moi,auteur·rice,1
poète·sse,poète·sse,1
auteur·rice,narrateur·rice,2
linguiste,informaticien·ne,1
auteure,éditeur·rice,1
sous,auteur·rice,2
policier·ère,poète·sse,1
bourgois,éditeur·rice,1
néo,écrivain·e,2
écrivants,auteur·rice,2
pseudo,éditeur·rice,18
écrivain·e,star,1
