verb,sing,plur,first,second,third
étayer,1520,160,240,160,960
écrire,3436880,198400,626160,232640,2656320
détecter,2800,640,400,0,2880
alimenter,7040,1840,1280,480,6560
critiquer,19840,8080,8000,2320,15440
brider,2640,640,400,240,2480
télécharger,6560,3440,2640,1600,4560
tester,18800,2720,7600,1840,9680
commenter,20720,6160,6880,2400,16240
feuilleter,5520,480,2720,320,2320
galérer,12560,3680,6880,1440,7200
assimiler,4880,1520,320,160,5040
repasser,11680,960,6160,1200,4160
peaufiner,4400,240,2400,320,1680
replacer,2720,160,1120,160,1360
retoucher,3200,240,1840,240,1280
plagier,4880,960,720,720,3920
censurer,5200,1760,720,80,4560
formater,3040,800,240,320,2160
contester,3360,1200,1520,560,2400
retenir,67520,16640,21920,3120,47520
renouveler,4560,1360,2400,240,2960
visualiser,10560,800,6160,1280,3920
transcrire,1280,160,320,0,960
recopier,5520,80,3760,560,1280
remanier,5760,480,1600,480,2880
étudier,28480,9360,8400,2080,22720
blâmer,2320,800,1360,160,1200
ennuyer,35040,4720,7520,1520,29280
pondre,11520,2800,2640,1680,9440
démarrer,15440,2240,1920,1360,13520
zapper,6160,880,2800,640,3280
démolir,1120,800,320,80,1360
réinventer,3040,720,480,240,3040
délimiter,1520,560,240,80,1360
emballer,14400,1360,2240,560,9680
transposer,3120,400,640,240,2480
concevoir,34640,4160,19200,1920,11840
différencier,11120,1600,1440,160,10960
citation,6080,2800,2160,480,3760
conclure,14720,3120,5120,1120,8960
incorporer,2640,480,720,560,1440
transférer,3600,160,1040,80,1760
apprécier,86560,21440,48080,8160,46400
décortiquer,3520,880,720,80,3360
dissocier,1760,320,480,0,1360
recréer,1360,320,320,0,1120
relire,90080,13840,51200,22880,22000
consulter,13440,4240,3920,2480,9920
reconnaitre,11600,1120,800,160,11600
matérialiser,1440,800,80,0,1840
expliciter,1760,240,240,160,1360
rééditer,3920,640,400,80,2480
fortiori,2800,80,0,0,2800
emmerder,11520,2080,3920,880,8320
maitriser,8960,1920,2880,800,7040
débuter,31040,5040,6560,2400,26240
catégoriser,2160,400,480,320,1680
postuler,4800,560,1440,960,2720
finaliser,2480,320,1040,80,1120
retranscrire,7200,320,2720,1040,2880
abonner,4400,1760,1840,1040,1920
réécrire,21600,2160,11040,3840,7120
bannir,4320,1280,720,480,2880
voter,14160,3120,8000,960,7280
chroniquer,3120,800,1040,80,2400
raisonner,5200,1200,1920,960,3360
auto-publier,1760,1040,800,480,1360
caser,3280,480,960,240,2320
pleuvoir,42560,1200,960,160,34400
initier,2640,560,160,0,2240
achever,15840,2080,2400,1120,11280
lire,705440,181280,318640,86480,420720
plussoyer,25840,0,25680,0,160
discréditer,1760,160,80,80,1680
réutiliser,3040,480,960,240,2000
survoler,4000,880,800,240,3520
enchaîner,12160,5280,3440,1680,11200
republier,960,240,240,240,640
rédiger,28960,5920,11920,3200,13360
