revendre,"{'lire': 0.2809999883174896, 'écrire': 0.12200000137090683}","{'lire': 0.27399998903274536, 'écrire': 0.2930000126361847}"
regarder,"{'lire': 0.3140000104904175, 'écrire': 0.0989999994635582}","{'lire': 0.7200000286102295, 'écrire': 0.45399999618530273}"
sensation,"{'lire': 0.035999998450279236, 'écrire': 0.04600000008940697}","{'lire': 0.008999999612569809, 'écrire': -0.052000001072883606}"
scinder,"{'lire': 0.1550000011920929, 'écrire': 0.1120000034570694}","{'lire': 0.29899999499320984, 'écrire': 0.28299999237060547}"
penser,"{'lire': 0.4000000059604645, 'écrire': 0.3799999952316284}","{'lire': 0.41999998688697815, 'écrire': 0.3959999978542328}"
percevoir,"{'lire': 0.14499999582767487, 'écrire': 0.20600000023841858}","{'lire': 0.335999995470047, 'écrire': 0.45399999618530273}"
appréhender,"{'lire': 0.09099999815225601, 'écrire': 0.1979999989271164}","{'lire': 0.38999998569488525, 'écrire': 0.46000000834465027}"
éditer,"{'lire': 0.4480000138282776, 'écrire': 0.30399999022483826}","{'lire': 0.5519999861717224, 'écrire': 0.6600000262260437}"
racheter,"{'lire': 0.2529999911785126, 'écrire': 0.09700000286102295}","{'lire': 0.20999999344348907, 'écrire': 0.3240000009536743}"
offusquer,"{'lire': 0.25699999928474426, 'écrire': 0.10700000077486038}","{'lire': 0.24899999797344208, 'écrire': 0.2630000114440918}"
citer,"{'lire': 0.5040000081062317, 'écrire': 0.3619999885559082}","{'lire': 0.6389999985694885, 'écrire': 0.6610000133514404}"
renommer,"{'lire': 0.12600000202655792, 'écrire': 0.02800000086426735}","{'lire': 0.33500000834465027, 'écrire': 0.34200000762939453}"
survoler,"{'lire': 0.5799999833106995, 'écrire': 0.24300000071525574}","{'lire': 0.46399998664855957, 'écrire': 0.33000001311302185}"
consulter,"{'lire': 0.5019999742507935, 'écrire': 0.23399999737739563}","{'lire': 0.7120000123977661, 'écrire': 0.4869999885559082}"
commenter,"{'lire': 0.6940000057220459, 'écrire': 0.41200000047683716}","{'lire': 0.6129999756813049, 'écrire': 0.5080000162124634}"
bâtir,"{'lire': -0.10400000214576721, 'écrire': 0.00800000037997961}","{'lire': 0.0820000022649765, 'écrire': 0.1940000057220459}"
persuader,"{'lire': 0.21400000154972076, 'écrire': 0.16699999570846558}","{'lire': 0.27399998903274536, 'écrire': 0.2849999964237213}"
interpréter,"{'lire': 0.30799999833106995, 'écrire': 0.3370000123977661}","{'lire': 0.5019999742507935, 'écrire': 0.6729999780654907}"
récréer,"{'lire': -0.09000000357627869, 'écrire': -0.041999999433755875}","{'lire': 0.29899999499320984, 'écrire': 0.23000000417232513}"
entamer,"{'lire': 0.3109999895095825, 'écrire': 0.33399999141693115}","{'lire': 0.25699999928474426, 'écrire': 0.3319999873638153}"
présenter,"{'lire': 0.39899998903274536, 'écrire': 0.3070000112056732}","{'lire': 0.4320000112056732, 'écrire': 0.5009999871253967}"
affirmer,"{'lire': 0.14000000059604645, 'écrire': 0.27000001072883606}","{'lire': 0.367000013589859, 'écrire': 0.5889999866485596}"
inventer,"{'lire': 0.1379999965429306, 'écrire': 0.3959999978542328}","{'lire': 0.39899998903274536, 'écrire': 0.6060000061988831}"
concevoir,"{'lire': 0.33399999141693115, 'écrire': 0.4449999928474426}","{'lire': 0.21199999749660492, 'écrire': 0.3190000057220459}"
poster,"{'lire': 0.6209999918937683, 'écrire': 0.4580000042915344}","{'lire': 0.6230000257492065, 'écrire': 0.4970000088214874}"
reconstituer,"{'lire': -0.04600000008940697, 'écrire': 0.014999999664723873}","{'lire': 0.36800000071525574, 'écrire': 0.38100001215934753}"
débuter,"{'lire': 0.45899999141693115, 'écrire': 0.5690000057220459}","{'lire': 0.31700000166893005, 'écrire': 0.3970000147819519}"
reconstruire,"{'lire': -0.017000000923871994, 'écrire': 0.023000000044703484}","{'lire': 0.210999995470047, 'écrire': 0.23999999463558197}"
englober,"{'lire': 0.10000000149011612, 'écrire': 0.03200000151991844}","{'lire': 0.20499999821186066, 'écrire': 0.26899999380111694}"
éprouver,"{'lire': 0.12399999797344208, 'écrire': 0.2199999988079071}","{'lire': 0.3059999942779541, 'écrire': 0.3230000138282776}"
connaître,"{'lire': 0.4519999921321869, 'écrire': 0.24199999868869781}","{'lire': 0.4099999964237213, 'écrire': 0.4230000078678131}"
réagir,"{'lire': 0.28200000524520874, 'écrire': 0.296999990940094}","{'lire': 0.4659999907016754, 'écrire': 0.3869999945163727}"
intégrer,"{'lire': 0.24400000274181366, 'écrire': 0.28999999165534973}","{'lire': 0.3160000145435333, 'écrire': 0.3880000114440918}"
introduire,"{'lire': 0.15600000321865082, 'écrire': 0.25699999928474426}","{'lire': 0.4269999861717224, 'écrire': 0.5889999866485596}"
véhiculer,"{'lire': 0.10300000011920929, 'écrire': 0.07999999821186066}","{'lire': 0.32100000977516174, 'écrire': 0.3869999945163727}"
définir,"{'lire': 0.16200000047683716, 'écrire': 0.3199999928474426}","{'lire': 0.2709999978542328, 'écrire': 0.4129999876022339}"
imaginer,"{'lire': 0.28999999165534973, 'écrire': 0.3889999985694885}","{'lire': 0.5090000033378601, 'écrire': 0.5799999833106995}"
prouver,"{'lire': 0.20800000429153442, 'écrire': 0.2720000147819519}","{'lire': 0.3659999966621399, 'écrire': 0.45399999618530273}"
édifier,"{'lire': 0.08299999684095383, 'écrire': 0.06700000166893005}","{'lire': 0.21699999272823334, 'écrire': 0.3540000021457672}"
finaliser,"{'lire': 0.382999986410141, 'écrire': 0.36000001430511475}","{'lire': 0.3479999899864197, 'écrire': 0.3330000042915344}"
voir,"{'lire': 0.47200000286102295, 'écrire': 0.34299999475479126}","{'lire': 0.640999972820282, 'écrire': 0.4659999907016754}"
formuler,"{'lire': 0.24300000071525574, 'écrire': 0.36800000071525574}","{'lire': 0.44999998807907104, 'écrire': 0.5109999775886536}"
émotion,"{'lire': -0.020999999716877937, 'écrire': 0.08399999886751175}","{'lire': 0.06300000101327896, 'écrire': 0.06700000166893005}"
protéger,"{'lire': 0.08900000154972076, 'écrire': 0.014999999664723873}","{'lire': 0.16200000047683716, 'écrire': 0.13199999928474426}"
visualiser,"{'lire': 0.2290000021457672, 'écrire': 0.3070000112056732}","{'lire': 0.5059999823570251, 'écrire': 0.3230000138282776}"
accorder,"{'lire': 0.14900000393390656, 'écrire': 0.10599999874830246}","{'lire': 0.2930000126361847, 'écrire': 0.4359999895095825}"
rétorquer,"{'lire': 0.11699999868869781, 'écrire': 0.15000000596046448}","{'lire': 0.3190000057220459, 'écrire': 0.32499998807907104}"
désigner,"{'lire': 0.017000000923871994, 'écrire': 0.11400000005960464}","{'lire': 0.17599999904632568, 'écrire': 0.4490000009536743}"
pondre,"{'lire': 0.5379999876022339, 'écrire': 0.5699999928474426}","{'lire': 0.5220000147819519, 'écrire': 0.4729999899864197}"
transpirer,"{'lire': -0.06300000101327896, 'écrire': -0.050999999046325684}","{'lire': 0.4000000059604645, 'écrire': 0.20800000429153442}"
affliger,"{'lire': -0.041999999433755875, 'écrire': -0.13899999856948853}","{'lire': 0.2759999930858612, 'écrire': 0.29499998688697815}"
différencier,"{'lire': 0.2619999945163727, 'écrire': 0.22599999606609344}","{'lire': 0.2770000100135803, 'écrire': 0.26499998569488525}"
douter,"{'lire': 0.3269999921321869, 'écrire': 0.2290000021457672}","{'lire': 0.38999998569488525, 'écrire': 0.28299999237060547}"
chroniquer,"{'lire': 0.6589999794960022, 'écrire': 0.32600000500679016}","{'lire': 0.3790000081062317, 'écrire': 0.36899998784065247}"
critiquer,"{'lire': 0.5090000033378601, 'écrire': 0.3240000009536743}","{'lire': 0.43700000643730164, 'écrire': 0.4339999854564667}"
inspirer,"{'lire': 0.4560000002384186, 'écrire': 0.4309999942779541}","{'lire': 0.32199999690055847, 'écrire': 0.45899999141693115}"
affecter,"{'lire': 0.04699999839067459, 'écrire': 0.04800000041723251}","{'lire': 0.19200000166893005, 'écrire': 0.26600000262260437}"
énoncer,"{'lire': 0.03700000047683716, 'écrire': 0.14000000059604645}","{'lire': 0.4399999976158142, 'écrire': 0.527999997138977}"
considérer,"{'lire': 0.2460000067949295, 'écrire': 0.2759999930858612}","{'lire': 0.257999986410141, 'écrire': 0.41999998688697815}"
préciser,"{'lire': 0.36800000071525574, 'écrire': 0.34200000762939453}","{'lire': 0.48899999260902405, 'écrire': 0.5619999766349792}"
impacter,"{'lire': 0.08799999952316284, 'écrire': 0.06599999964237213}","{'lire': 0.24199999868869781, 'écrire': 0.2280000001192093}"
deviner,"{'lire': 0.2630000114440918, 'écrire': 0.23600000143051147}","{'lire': 0.5379999876022339, 'écrire': 0.44699999690055847}"
dépeindre,"{'lire': -0.03799999877810478, 'écrire': 0.032999999821186066}","{'lire': 0.3919999897480011, 'écrire': 0.4560000002384186}"
réhabiliter,"{'lire': -0.13899999856948853, 'écrire': -0.07599999755620956}","{'lire': 0.17000000178813934, 'écrire': 0.22200000286102295}"
recréer,"{'lire': 0.027000000700354576, 'écrire': 0.11599999666213989}","{'lire': 0.3319999873638153, 'écrire': 0.3529999852180481}"
exprimer,"{'lire': 0.30000001192092896, 'écrire': 0.37400001287460327}","{'lire': 0.43299999833106995, 'écrire': 0.5730000138282776}"
décrire,"{'lire': 0.27000001072883606, 'écrire': 0.3440000116825104}","{'lire': 0.4480000138282776, 'écrire': 0.5419999957084656}"
supposer,"{'lire': 0.125, 'écrire': 0.14100000262260437}","{'lire': 0.24199999868869781, 'écrire': 0.33500000834465027}"
appuyer,"{'lire': 0.1120000034570694, 'écrire': 0.1509999930858612}","{'lire': 0.2759999930858612, 'écrire': 0.4259999990463257}"
recopier,"{'lire': 0.48899999260902405, 'écrire': 0.4580000042915344}","{'lire': 0.7059999704360962, 'écrire': 0.593999981880188}"
écarter,"{'lire': 0.14399999380111694, 'écrire': 0.03700000047683716}","{'lire': 0.30399999022483826, 'écrire': 0.3580000102519989}"
